parameters	trial_id	accuracy	correct_pos_predicted	correct_sites_predicted	kl_dis
param[1, 7, 10]	0	0.0	0	0	3.131785966344765
param[1, 7, 10]	1	0.0	0	0	4.5296488769920025
param[1, 7, 10]	2	0.0	0	0	4.284283940849353
param[1, 7, 10]	3	0.0	0	2	1.056077668199584
param[1, 7, 10]	4	0.0	0	1	3.2134095943189585
param[1, 7, 10]	5	0.0	0	0	4.379845526128526
param[1, 7, 10]	6	0.1	1	0	2.5800431293511483
param[1, 7, 10]	7	0.0	0	0	3.046321600912947
param[1, 7, 10]	8	0.1	1	4	1.3899821049604049
param[1, 7, 10]	9	0.0	0	0	2.688540498060994
param[1.5, 6, 10]	0	0.0	0	3	4.020517419626639
param[1.5, 6, 10]	1	0.0	0	1	5.293494018481875
param[1.5, 6, 10]	2	0.0	0	0	6.133402094670249
param[1.5, 6, 10]	3	0.0	0	6	3.3574283067861574
param[1.5, 6, 10]	4	0.0	0	6	4.15362757857242
param[1.5, 6, 10]	5	0.0	0	1	6.070979999555046
param[1.5, 6, 10]	6	0.0	0	7	4.29528384285435
param[1.5, 6, 10]	7	0.0	0	3	4.227444335559215
param[1.5, 6, 10]	8	0.0	0	2	4.04649129712819
param[1.5, 6, 10]	9	0.0	0	7	3.144902318671289
param[1.5, 7, 10]	0	0.0	0	2	5.173108272678205
param[1.5, 7, 10]	1	0.8	8	8	0.5523502535390977
param[1.5, 7, 10]	2	0.1	1	3	4.773771453141867
param[1.5, 7, 10]	3	0.0	0	0	4.235409146134116
param[1.5, 7, 10]	4	0.0	0	1	4.291608844994178
param[1.5, 7, 10]	5	0.2	2	0	7.426913214702735
param[1.5, 7, 10]	6	0.2	2	6	3.1589592493418284
param[1.5, 7, 10]	7	0.0	0	0	7.091238891089074
param[1.5, 7, 10]	8	0.0	0	0	5.811583448506618
param[1.5, 7, 10]	9	0.0	0	0	6.8943364181870725
param[1.5, 7, 20]	0	0.55	11	15	0.6191925213539796
param[1.5, 7, 20]	1	0.4	8	14	1.8424777321011359
param[1.5, 7, 20]	2	0.1	2	8	2.9327843641308595
param[1.5, 7, 20]	3	0.0	0	2	4.918238514053562
param[1.5, 7, 20]	4	0.0	0	2	4.502557458016279
param[1.5, 7, 20]	5	0.5	10	18	0.9097157477796285
param[1.5, 7, 20]	6	0.05	1	10	2.94541666107408
param[1.5, 7, 20]	7	0.0	0	0	3.6403727421345238
param[1.5, 7, 20]	8	0.35	7	16	1.2426152242087514
param[1.5, 7, 20]	9	0.1	2	11	3.3432068905232377
param[1.5, 7, 5]	0	0.0	0	2	3.8149112950829944
param[1.5, 7, 5]	1	0.2	1	0	4.650822020009748
param[1.5, 7, 5]	2	0.0	0	0	4.3769363049326
param[1.5, 7, 5]	3	0.0	0	0	6.482293935528089
param[1.5, 7, 5]	4	0.0	0	0	6.741016856489087
param[1.5, 7, 5]	5	0.2	1	3	2.86931929856169
param[1.5, 7, 5]	6	0.2	1	0	6.7089315930082885
param[1.5, 7, 5]	7	0.0	0	4	2.656570832085545
param[1.5, 7, 5]	8	0.0	0	0	5.564229824345611
param[1.5, 7, 5]	9	0.0	0	0	4.853016523681195
param[1.5, 8, 10]	0	0.2	2	6	1.6982214175567694
param[1.5, 8, 10]	1	0.1	1	1	5.601045527155041
param[1.5, 8, 10]	2	0.1	1	1	4.753452553627202
param[1.5, 8, 10]	3	0.7	7	8	1.9906258899525504
param[1.5, 8, 10]	4	0.0	0	0	5.145379111306283
param[1.5, 8, 10]	5	0.2	2	8	3.0010841871810654
param[1.5, 8, 10]	6	0.1	1	3	4.210165916383676
param[1.5, 8, 10]	7	0.0	0	8	2.348369587945357
param[1.5, 8, 10]	8	0.2	2	1	3.9605118287483494
param[1.5, 8, 10]	9	0.0	0	4	4.069540790661952
param[2, 7, 10]	0	0.3	3	8	3.072717114564889
param[2, 7, 10]	1	0.8	8	10	0.25752589784078894
param[2, 7, 10]	2	1.0	10	10	0.0009383149927433289
param[2, 7, 10]	3	0.9	9	10	0.23615358370331294
param[2, 7, 10]	4	0.6	6	6	3.1982521649452997
param[2, 7, 10]	5	0.5	5	9	2.2516161012892137
param[2, 7, 10]	6	1.0	10	10	0.0013774689502421527
param[2, 7, 10]	7	0.9	9	10	0.3541190972890249
param[2, 7, 10]	8	0.8	8	10	0.37662540973934344
param[2, 7, 10]	9	1.0	10	10	0.0007442602890647791
